#t	e	a	u	I	OMEGA	omega	R_H
0.000000e+00	8.585870000000000e-02	2.306896348000000e+01	5.247294692089953e+00	3.087784152750808e-02	2.298977186791289e+00	7.848981265667520e-01	0.000000000000000e+00
6.283185e+03	8.583842885796079e-02	2.308038479771604e+01	5.391772339204382e+00	3.026246777173186e-02	2.298976857812256e+00	7.643085711809370e-01	3.481949406236115e-02
6.283185e+04	8.564929505888035e-02	2.318251654135049e+01	4.731808033498802e+00	3.026453320625010e-02	2.298949125718095e+00	7.645238423755475e-01	7.534827652257434e-02
6.283185e+05	8.402458588138018e-02	2.414047573783078e+01	2.930721170218090e+00	3.035545854025436e-02	2.296443574357434e+00	7.743212419611188e-01	1.690409413155803e-01
6.283185e+06	8.027006733441629e-02	2.893069073685229e+01	3.855894176707056e+00	3.201104255284568e-02	2.137531458572739e+00	1.371109913111260e+00	4.364537347018231e-01
3.141593e+07	8.932405552958317e-02	2.998592261026140e+01	5.918448400475937e+00	3.630536648337399e-02	1.617924096159151e+00	5.311416342765553e+00	7.735472179187112e-01
